instance,seed,baseline_best,ml_best,best_value_delta,baseline_runtime_seconds,ml_runtime_seconds,runtime_delta_seconds
balanced_small,7,43,43,0,0.004485500016016886,0.009958790993550792,0.005473290977533907
balanced_small,8,43,43,0,0.004498249996686354,0.008584374998463318,0.0040861250017769635
balanced_small,9,43,43,0,0.004326041991589591,0.00971141699119471,0.005385374999605119
balanced_small,10,43,43,0,0.004430582979694009,0.010205708997091278,0.00577512601739727
balanced_small,11,43,43,0,0.004490624996833503,0.010060208005597815,0.005569583008764312
balanced_small,12,43,43,0,0.004429834021721035,0.010843041993211955,0.00641320797149092
balanced_small,13,43,43,0,0.004332125012297183,0.009613416012143716,0.005281290999846533
balanced_small,14,43,43,0,0.004265875002602115,0.01019945801817812,0.005933583015576005
balanced_small,15,43,43,0,0.004717541014542803,0.011489583004731685,0.006772041990188882
balanced_small,16,43,43,0,0.004467333987122402,0.05482329198275693,0.050355957995634526
dense_medium,7,132,132,0,0.012610042002052069,0.01328083299449645,0.0006707909924443811
dense_medium,8,132,132,0,0.011946500017074868,0.013022541010286659,0.001076040993211791
dense_medium,9,132,132,0,0.011835084005724639,0.013127374986652285,0.0012922909809276462
dense_medium,10,132,132,0,0.012093749974155799,0.01324195897905156,0.0011482090048957616
dense_medium,11,132,132,0,0.011967375001404434,0.013373291993048042,0.0014059169916436076
dense_medium,12,132,132,0,0.011078665993409231,0.013227332994574681,0.0021486670011654496
dense_medium,13,132,132,0,0.010439541016239673,0.01255204199696891,0.002112500980729237
dense_medium,14,132,132,0,0.010965207999106497,0.014024042000528425,0.0030588340014219284
dense_medium,15,132,132,0,0.009948333987267688,0.04471491600270383,0.03476658201543614
dense_medium,16,132,132,0,0.008665333996759728,0.019368584005860612,0.010703250009100884
tight_capacity,7,41,41,0,0.00592404100461863,0.010151750000659376,0.004227708996040747
tight_capacity,8,41,41,0,0.006296290986938402,0.011418874986702576,0.005122583999764174
tight_capacity,9,41,41,0,0.005971417005639523,0.01012658400577493,0.004155167000135407
tight_capacity,10,41,41,0,0.006123291997937486,0.009898958989651874,0.003775666991714388
tight_capacity,11,41,41,0,0.005886291997740045,0.010182958998484537,0.004296667000744492
tight_capacity,12,41,41,0,0.006188125000335276,0.010081041022203863,0.0038929160218685865
tight_capacity,13,41,41,0,0.006237708003027365,0.009980417002225295,0.00374270899919793
tight_capacity,14,41,41,0,0.005903292010771111,0.012730291986372322,0.006826999975601211
tight_capacity,15,41,41,0,0.006016166997142136,0.010080707987071946,0.00406454098992981
tight_capacity,16,41,41,0,0.005895582988159731,0.010036040999693796,0.004140458011534065
wide_large,7,211,211,0,0.017296750011155382,0.02138320801896043,0.004086458007805049
wide_large,8,211,211,0,0.01698804198531434,0.020964791008736938,0.003976749023422599
wide_large,9,211,211,0,0.01824883298831992,0.020381040987558663,0.0021322079992387444
wide_large,10,211,211,0,0.033201125013874844,0.021726499981014058,-0.011474625032860786
wide_large,11,211,211,0,0.022832624992588535,0.020419584005139768,-0.002413040987448767
wide_large,12,211,211,0,0.016166542016435415,0.028624416998354718,0.012457874981919304
wide_large,13,211,211,0,0.016016917012166232,0.04151016700780019,0.02549324999563396
wide_large,14,211,211,0,0.016362124995794147,0.020937499997671694,0.004575375001877546
wide_large,15,211,211,0,0.01601908402517438,0.020996207982534543,0.004977123957360163
wide_large,16,211,211,0,0.017473415995482355,0.02114562501083128,0.003672209015348926
